Iteration,Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,train_loss,Initial_DataCollection_AverageReturn
58,131.25558,16.769518,144.02019,107.56364,150.0,114.59254,22.119375,165.77795,9.680236,150.0,2955900,3883.920389890671,-0.035293303,-91.0735
59,116.43347,32.153095,153.44608,75.051796,150.0,121.11567,19.713768,164.80643,37.232407,150.0,3006000,3945.6103472709656,-0.039329167,-91.0735
60,93.76115,18.09247,117.17679,73.120964,150.0,113.40206,31.480251,164.76614,-14.7148905,150.0,3056100,4007.8617808818817,-0.023987217,-91.0735
61,163.77881,7.3142014,171.59956,154.00557,150.0,113.473946,33.704826,167.9497,-17.94405,150.0,3106200,4069.886517763138,-0.03206652,-91.0735
62,131.85402,1.9843878,134.1398,129.30113,150.0,131.19601,22.890654,194.28976,14.532638,150.0,3156300,4131.574125289917,-0.03087684,-91.0735
63,124.13212,4.7326965,128.64926,117.596375,150.0,126.60505,23.967545,182.04195,-6.145561,150.0,3206400,4193.903170824051,-0.034419242,-91.0735
64,128.76996,9.128431,138.89435,116.77127,150.0,134.51274,19.203638,187.84,-0.64151,150.0,3256500,4255.8472809791565,-0.038972057,-91.0735
65,121.25486,5.3254657,126.361404,113.9075,150.0,133.1559,16.5043,172.40906,52.941452,150.0,3306600,4317.586549520493,-0.02913426,-91.0735
66,150.65558,11.557222,160.30217,134.40593,150.0,133.38593,18.093813,177.1531,49.81256,150.0,3356700,4379.856388092041,-0.019812014,-91.0735
67,128.95464,24.08872,153.73045,96.317795,150.0,142.81667,19.406273,186.59412,56.163235,150.0,3406800,4441.755355596542,-0.022218838,-91.0735
68,159.63017,22.52312,189.60641,135.31439,150.0,143.16258,22.776821,194.24509,-6.7131004,150.0,3456900,4503.802953004837,-0.030053858,-91.0735
69,136.39816,17.650635,155.9376,113.17575,150.0,140.25758,22.749428,193.64244,-14.5196,150.0,3507000,4565.874589443207,-0.024717484,-91.0735
70,125.13668,11.181529,140.14706,113.32381,150.0,138.35638,21.378248,202.50667,53.35615,150.0,3557100,4628.215158700943,-0.037208073,-91.0735
71,149.0707,2.7451742,152.71703,146.09332,150.0,137.5913,17.713837,180.7508,78.3722,150.0,3607200,4690.014982700348,-0.04131031,-91.0735
72,107.29568,37.436855,134.71848,54.363487,150.0,139.76053,17.80457,190.9146,85.67218,150.0,3657300,4751.332629919052,-0.033805795,-91.0735
73,157.7841,13.59753,176.95294,146.87465,150.0,139.12473,18.594318,176.67764,7.3740177,150.0,3707400,4812.860669851303,-0.03504897,-91.0735
74,162.48372,18.132269,179.6809,137.41208,150.0,140.56282,24.867249,189.89554,16.364227,150.0,3757500,4874.567713975906,-0.029516213,-91.0735
75,149.5619,7.2995663,156.37114,139.43782,150.0,147.66025,22.927658,189.43018,55.826836,150.0,3807600,4936.348576068878,-0.039951824,-91.0735
76,112.33851,26.560556,148.586,85.68339,150.0,140.76169,25.434929,195.2301,20.78609,150.0,3857700,4998.249751091003,-0.020961652,-91.0735
77,144.62227,5.7212095,150.4366,136.84238,150.0,138.02437,26.289173,203.27008,10.929959,150.0,3907800,5060.41623878479,-0.050398562,-91.0735
78,158.57872,14.38883,178.82626,146.69843,150.0,142.93977,27.39533,193.63106,12.561098,150.0,3957900,5121.916848421097,-0.035049714,-91.0735
79,148.16856,9.232259,154.71008,135.11218,150.0,150.03116,22.806814,201.79907,13.64641,150.0,4008000,5183.717314004898,-0.03848849,-91.0735
80,175.29741,10.515733,187.84256,162.10852,150.0,152.21924,21.047592,199.52359,22.417738,150.0,4058100,5245.554425239563,-0.025957502,-91.0735
81,172.70576,13.284685,184.09964,154.07211,150.0,157.90701,19.157404,209.7236,23.039608,150.0,4108200,5307.209450960159,-0.028023615,-91.0735
82,153.39827,16.322248,165.51297,130.32477,150.0,166.15497,19.19188,221.16145,66.61629,150.0,4158300,5369.361923217773,-0.02464552,-91.0735
83,142.0465,7.61548,150.87433,132.2898,150.0,150.68176,19.110476,207.79501,90.98158,150.0,4208400,5431.43501496315,-0.021711178,-91.0735
84,156.68665,15.896317,169.249,134.25989,150.0,137.60568,25.418743,185.53397,-36.892647,150.0,4258500,5492.870157003403,-0.020698551,-91.0735
85,162.69917,17.003113,186.73288,150.01561,150.0,142.87584,25.462566,198.72995,24.973671,150.0,4308600,5554.202175617218,-0.010286913,-91.0735
86,137.73497,16.666615,156.36414,115.9152,150.0,150.29118,27.378164,206.95752,10.23123,150.0,4358700,5615.562419891357,-0.02889269,-91.0735
87,182.40764,14.808504,201.02458,164.79286,150.0,157.32286,26.90899,216.99088,-25.504204,150.0,4408800,5677.138322353363,-0.018832533,-91.0735
88,125.86494,23.266356,144.89386,93.10375,150.0,159.18584,20.045837,204.12103,41.9209,150.0,4458900,5739.079784631729,-0.010651888,-91.0735
89,164.26283,1.6479018,165.86185,161.99509,150.0,143.82246,19.710201,187.69412,31.940567,150.0,4509000,5800.874541282654,-0.034084525,-91.0735
90,149.92876,19.260334,174.64185,127.65314,150.0,149.48206,18.367535,196.8168,68.367386,150.0,4559100,5862.289785146713,-0.04279994,-91.0735
91,148.94882,12.150459,163.05032,133.39447,150.0,156.37793,17.66164,200.5661,80.250694,150.0,4609200,5923.669971942902,-0.02173248,-91.0735
92,136.10478,25.581892,159.7395,100.56613,150.0,147.62166,22.402514,190.79823,7.111302,150.0,4659300,5984.9232442379,-0.025310224,-91.0735
93,153.07063,8.773068,162.36147,141.3041,150.0,143.91289,23.873734,195.82095,-8.544362,150.0,4709400,6046.351624727249,-0.017570792,-91.0735
94,140.05965,22.01452,168.92471,115.52441,150.0,150.83199,25.547318,197.24402,16.180315,150.0,4759500,6108.296262741089,-0.005323577,-91.0735
95,154.75706,18.276897,179.42087,135.72888,150.0,166.11809,20.427351,216.23453,91.24391,150.0,4809600,6170.189675092697,-0.013084405,-91.0735
96,115.64207,34.140675,152.17618,70.03781,150.0,150.4909,25.534414,208.50812,29.755447,150.0,4859700,6231.452399492264,-0.031335376,-91.0735
97,115.99882,44.494255,165.4448,57.572277,150.0,134.31873,44.532204,207.56201,-15.70907,150.0,4909800,6293.066889047623,-0.030515848,-91.0735
98,124.0449,19.649809,140.01338,96.36477,150.0,145.01938,36.185234,219.14023,17.339586,150.0,4959900,6355.217868089676,-0.029336385,-91.0735
99,110.2877,38.357513,147.00612,57.348633,150.0,123.28856,30.300167,186.42892,-14.818858,150.0,5010000,6395.5795981884,-0.027692042,-91.0735
