Iteration,Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,train_loss,Initial_DataCollection_AverageReturn
59,141.75,29.132242,187.0,107.0,141.75,126.25,24.432304,171.0,95.0,126.25,62674,36.61260461807251,64.16788,25.666666
60,111.75,9.337424,126.0,102.0,111.75,133.125,36.525463,200.0,89.0,133.125,63739,37.21223759651184,70.89751,25.666666
61,155.0,32.4037,200.0,125.0,155.0,176.16667,38.585045,200.0,94.0,176.16666666666666,64796,37.81999754905701,89.746574,25.666666
62,139.33333,43.276886,200.0,102.0,139.33333333333334,133.625,28.887444,200.0,99.0,133.625,65865,38.408971309661865,69.64883,25.666666
63,138.25,40.05231,200.0,88.0,138.25,118.55556,42.447643,200.0,27.0,118.55555555555556,66932,39.05212044715881,66.334435,25.666666
64,146.33333,16.213848,169.0,132.0,146.33333333333334,136.375,29.295637,200.0,100.0,136.375,68023,39.661168336868286,68.493126,25.666666
65,137.75,36.334385,200.0,109.0,137.75,135.0,31.968735,200.0,102.0,135.0,69103,40.30588221549988,71.31147,25.666666
66,105.25,5.1173725,113.0,99.0,105.25,134.875,17.524536,162.0,116.0,134.875,70182,40.90179133415222,65.61648,25.666666
67,104.2,32.096104,135.0,45.0,104.2,143.28572,12.69099,159.0,120.0,143.28571428571428,71185,41.51022696495056,68.06786,25.666666
68,114.25,29.844389,141.0,66.0,114.25,125.0,14.659089,141.0,89.0,125.0,72310,42.13666534423828,58.676613,25.666666
69,143.33333,12.472192,160.0,130.0,143.33333333333334,122.666664,14.996295,152.0,100.0,122.66666666666667,73414,42.745840311050415,59.43485,25.666666
70,118.25,30.621683,153.0,72.0,118.25,136.125,10.936607,151.0,124.0,136.125,74503,43.365461587905884,63.91482,25.666666
71,152.0,16.673332,175.0,136.0,152.0,129.0,13.847383,155.0,111.0,129.0,75535,43.955257415771484,62.165577,25.666666
72,130.75,9.256754,146.0,121.0,130.75,140.75,21.457808,182.0,120.0,140.75,76661,44.61168670654297,66.38395,25.666666
73,163.0,23.720596,191.0,133.0,163.0,145.57143,13.730645,161.0,115.0,145.57142857142858,77680,45.21134424209595,71.084526,25.666666
74,200.0,0.0,200.0,200.0,200.0,162.42857,23.717728,200.0,135.0,162.42857142857142,78817,45.82274556159973,78.30562,25.666666
75,168.0,3.5590262,173.0,165.0,168.0,145.42857,18.022661,177.0,123.0,145.42857142857142,79835,46.42887544631958,68.221344,25.666666
76,185.66667,10.530379,200.0,175.0,185.66666666666666,189.0,13.613718,200.0,169.0,189.0,80969,47.102089166641235,88.1482,25.666666
77,185.0,21.213203,200.0,155.0,185.0,181.33333,23.577295,200.0,131.0,181.33333333333334,82057,47.761547803878784,83.72866,25.666666
78,200.0,0.0,200.0,200.0,200.0,193.5,13.659551,200.0,163.0,193.5,83218,48.38364601135254,89.90914,25.666666
79,200.0,0.0,200.0,200.0,200.0,182.66667,18.714226,200.0,152.0,182.66666666666666,84314,48.97919416427612,84.19508,25.666666
80,193.33333,9.428091,200.0,180.0,193.33333333333334,197.16667,4.487637,200.0,188.0,197.16666666666666,85497,49.68246078491211,91.149376,25.666666
81,199.66667,0.4714045,200.0,199.0,199.66666666666666,200.0,0.0,200.0,200.0,200.0,86497,50.31883120536804,91.642876,25.666666
82,200.0,0.0,200.0,200.0,200.0,189.0,24.596748,200.0,134.0,189.0,87631,50.92776560783386,89.46368,25.666666
83,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,88631,51.486141204833984,92.66917,25.666666
84,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,89631,52.04354286193848,95.75395,25.666666
85,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,90631,52.600727796554565,93.81157,25.666666
